ROI,Z_view_gt_baseline,Beta_view_gt_baseline,Z_recall_gt_baseline,Beta_recall_gt_baseline,Z_imagine_gt_baseline,Beta_imagine_gt_baseline,Z_view_gt_recall,Beta_view_gt_recall,Z_view_gt_imagine,Beta_view_gt_imagine,Z_recall_gt_imagine,Beta_recall_gt_imagine
Frontal Pole,0.029754420580629166,0.019580385509998223,0.060851391204141764,0.03762233709099021,-0.03997273683483862,-0.0426509992353194,-0.08048299064040504,-0.07855979087968756,0.07240176910787467,0.14341542555978756,0.1425946475639055,0.18407544139340132
Insular Cortex,0.2661946961132559,0.1685948971284259,0.21620557932214773,0.14574850174347617,0.08811873676968167,0.05144764156325163,0.1139015306008692,0.09432766942736791,0.2783514658921663,0.2622928623229252,0.23907695580963165,0.21079588513265696
Superior Frontal Gyrus,0.019459105341329528,0.030124100784088188,-0.042206141757714276,-0.008417255083603432,0.04718536102141426,0.06444077497680491,0.1782843466395748,0.16535421877866302,-0.09713408733928929,-0.082431608183922,-0.2024049561668648,-0.1686895959161865
Middle Frontal Gyrus,-0.01672559839491906,6.0385935371646266e-05,-0.04789824357785022,-0.02144760922198008,-0.006191017622388377,0.01860837243741428,0.0851829111763924,0.0939100849320584,-0.05012201861948505,-0.041858537906654114,-0.0769910368962364,-0.08974631882548413
"Inferior Frontal Gyrus, pars triangularis",-0.2529784884083044,-0.16858974673434932,-0.12493807712543972,-0.08932495045230916,0.24059214983955143,0.18647798407745164,-0.32245322429053935,-0.33963564703254784,-0.6733225111643593,-0.8207632776901164,-0.5152188046953092,-0.6368440876149256
"Inferior Frontal Gyrus, pars opercularis",-0.33910438420893735,-0.2335559324208391,-0.270817408441831,-0.21077669476049307,0.1648508530011512,0.08826674150787081,-0.1652215193117234,-0.09614866412561537,-0.6575073866461141,-0.737371479655784,-0.6442428180466218,-0.6780707362152547
Precentral Gyrus,0.36847115284075066,0.3261374111148619,0.3026278661812392,0.2917966973270329,0.23277725489322898,0.21548879495179346,0.12569773302227508,0.1435932153292831,0.275390440682838,0.2298670209148996,0.1851103238266042,0.1529557187051464
Temporal Pole,0.30879799519343865,0.3168392932427845,0.19360904785217029,0.21863210514060374,0.0879978640857485,0.12353093602772519,0.4716994687497193,0.4173762135971403,0.39198347938877137,0.4309065542186107,0.21265041067811696,0.20618912433720343
"Superior Temporal Gyrus, anterior division",-0.1113335348596712,-0.10631368737451123,-0.2784094148130939,-0.2299337851129451,-0.19415742488925192,-0.15943526955712792,0.6355354245046132,0.5311146006617407,0.11951309932604368,0.1372248056286221,-0.17933564545326028,-0.14416750723864405
"Superior Temporal Gyrus, posterior division",-0.20595438792813173,-0.14979803816826415,-0.26872490290224443,-0.18943901055005033,-0.14921411128415232,-0.08860999470771816,0.15191113011437998,0.17054577743425317,-0.15673197850008952,-0.12294105630172272,-0.24713691313428116,-0.21516948970899408
"Middle Temporal Gyrus, anterior division",0.21473917544919566,0.19018677880590376,0.06210220662869877,0.06699980560626494,-0.19821124407873797,-0.11605204043166352,0.6234015800590006,0.5252508402801286,0.5459726595342907,0.7110185135182127,0.4117799704649593,0.42637328701421534
"Middle Temporal Gyrus, posterior division",-0.10320005082074894,-0.06655626239742178,-0.13686939577192397,-0.07279430470032673,-0.15450019260758777,-0.09868748844977682,0.004721466355051112,0.026750669643095817,0.046204676097151905,0.0904067356830633,0.03556893381339509,0.07256415803123285
"Middle Temporal Gyrus, temporooccipital part",0.12995430626066676,0.12390670798855824,0.08235483356711473,0.08474757885374763,0.22503321295613082,0.1710482298862153,0.07518161295530296,0.16720289586052806,-0.12650996506247336,-0.12344951889960125,-0.2888693694133471,-0.20892470458980658
"Inferior Temporal Gyrus, anterior division",-0.13094688238100727,-0.09863559699424507,-0.221683310454438,-0.17425414346258278,-0.1846137931273962,-0.14778841211354324,0.35509221675608355,0.3203571306954103,0.10696170198627972,0.12709387843934847,-0.006922228944691445,-0.045571956045827325
"Inferior Temporal Gyrus, posterior division",-0.07461016518288419,-0.09861078702267621,-0.09727780006612606,-0.11196067634414307,-0.066765973897579,-0.087282846546662,0.07274808565381474,0.054871013200153605,-0.011928644104263884,-0.0159822279140922,-0.018987232790446253,-0.046478427804774874
"Inferior Temporal Gyrus, temporooccipital part",-0.1846911887223133,-0.15169550098345408,-0.4325767841250153,-0.38108780451661156,-0.15339289576823031,-0.10297317615578586,0.5770950113481668,0.9818089287384737,-0.10170948312533001,-0.09953787268288974,-0.6165726550265225,-0.6130530499448986
Postcentral Gyrus,0.44024265120376693,0.3676253004181324,0.3378255990493968,0.3160774170634992,0.2703951470456787,0.23821659891480657,0.1695153960571167,0.2159178350338615,0.29908248532441517,0.2692308927377084,0.18607519031018224,0.15352869013623613
Superior Parietal Lobule,0.18577000788174414,0.16990622832797186,0.10763011606174963,0.09745089250077159,0.15395093647771446,0.13216036875471263,0.17094017629395394,0.3100828545060365,0.09517466358673114,0.07654498504457304,-0.07822340769002245,-0.086552679183477
"Supramarginal Gyrus, anterior division",0.2672865138291715,0.2467497484452437,0.18120880681835844,0.170659016751465,0.2297922647110783,0.17903154086070058,0.2507689561260287,0.32475737858621584,0.12567920285079842,0.13560565127855936,-0.07380641177915598,-0.03318793065611693
"Supramarginal Gyrus, posterior division",-0.14902662846330328,-0.09860032691321952,-0.10228566723768863,-0.06484738401785106,0.01599452194490036,0.02689214717839914,-0.18239163238366152,-0.14249216348316499,-0.272428062299704,-0.28043644960696923,-0.27148585606843173,-0.205235264817621
Angular Gyrus,-0.20740640321221526,-0.14193882331491597,-0.22554913142641067,-0.14281334889953098,-0.3309421089772874,-0.2197179889244286,0.01752027927304449,0.007359323172253519,0.12557380083898873,0.20289456088132088,0.16123542194814866,0.19430019591699724
"Lateral Occipital Cortex, superior division",0.05406384264876116,0.053160050622605294,-0.11345237322152976,-0.09616842506040575,-0.010677307248128187,-0.025147363125703575,0.2995266844860918,0.6362753034810973,0.11373017061057593,0.18472318568743873,-0.21215117784222787,-0.15109769387299485
"Lateral Occipital Cortex, inferior division",0.1290188380575709,0.10354332918771657,-0.47086999438548993,-0.4959460505712382,-0.4680532479751588,-0.43153990445902196,0.9000149200242494,2.513072471844275,0.7816511519990215,1.2447130211745567,-0.15755609101099635,-0.09827431749620867
Intracalcarine Cortex,-0.14272628678896132,-0.10395496544992412,0.027337540712493842,0.002161285193180686,-0.16588128383834505,-0.180300810023686,-0.3770823091517813,-0.45586676305556556,0.12459013992437859,0.20555325156722284,0.5407140265543425,0.43637733075434115
