ROI,Weight
Right Amygdala,6.341142494209049
Lingual Gyrus,5.894288035797975
Left Pallidum,5.837405918062536
Right Thalamus,5.417430290488295
Left Thalamus,5.306063238124635
"Lateral Occipital Cortex, inferior division",5.304183366829086
Right Accumbens,5.179985088493204
Left Amygdala,4.853493416678517
"Inferior Temporal Gyrus, anterior division",4.773607383539143
Right Pallidum,4.633284844747552
"Temporal Fusiform Cortex, posterior division",4.632279796264915
Left Putamen,4.489692655027526
Occipital Pole,4.43083134706274
Right Putamen,4.39259906304051
Temporal Pole,4.368409828572844
Intracalcarine Cortex,4.165619228313573
Frontal Medial Cortex,4.06922519739411
Right Cerebral Cortex,4.0176608414821064
Occipital Fusiform Gyrus,4.0131328056921065
Insular Cortex,3.7928869660800872
Subcallosal Cortex,3.761458516486751
"Parahippocampal Gyrus, anterior division",3.6771240201754303
Paracingulate Gyrus,3.5498726819843847
Left Cerebral Cortex,3.504661176344411
Left Caudate,3.4672955194275548
Right Caudate,3.456740109271439
Cuneal Cortex,3.3595479899971408
"Cingulate Gyrus, anterior division",3.205695161581553
Frontal Pole,3.1945492856105515
Supracalcarine Cortex,3.132288253396409
"Inferior Temporal Gyrus, temporooccipital part",3.0896160681524996
"Lateral Occipital Cortex, superior division",3.0426811146669284
"Cingulate Gyrus, posterior division",2.937987379036747
Heschl's Gyrus (includes H1 and H2),2.9243911230472115
Brain-Stem,2.823104151919842
Central Opercular Cortex,2.819737940512701
"Temporal Fusiform Cortex, anterior division",2.7373670854779326
Left Cerebral White Matter,2.619594296148267
Parietal Opercular Cortex,2.6192767256916776
Precentral Gyrus,2.6162408140250313
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),2.532156494454504
"Middle Temporal Gyrus, anterior division",2.327726459347384
Temporal Occipital Fusiform Cortex,2.324223060134492
Postcentral Gyrus,2.279105650326143
Frontal Opercular Cortex,2.278613106643431
Right Hippocampus,2.273838980747766
Precuneous Cortex,2.1509628452298952
Right Cerebral White Matter,2.091557262982854
Frontal Orbital Cortex,2.0902875360326973
Superior Parietal Lobule,2.0810054814309242
"Supramarginal Gyrus, anterior division",1.8802524274664838
Left Accumbens,1.7551616529804854
Superior Frontal Gyrus,1.7189095248069177
"Middle Temporal Gyrus, temporooccipital part",1.5361463470391588
Planum Polare,1.4368357694301082
"Inferior Temporal Gyrus, posterior division",1.3688089633048832
"Inferior Frontal Gyrus, pars triangularis",1.341585809776823
"Superior Temporal Gyrus, anterior division",1.19110075773207
"Superior Temporal Gyrus, posterior division",1.096823815585703
"Supramarginal Gyrus, posterior division",-0.9734411319807268
Middle Frontal Gyrus,0.9547256562219842
"Parahippocampal Gyrus, posterior division",0.8453755024126604
"Middle Temporal Gyrus, posterior division",0.842005786918983
"Inferior Frontal Gyrus, pars opercularis",0.8395592323037907
Angular Gyrus,-0.5952710373828815
Right Lateral Ventricle,0.5365267178257955
Left Lateral Ventricle,0.40980697120570103
Planum Temporale,0.3099091081075436
Left Hippocampus,0.13176185569673957
